service_id,date,exception_type
平日,20260429,2
平日,20260504,2
平日,20260505,2
平日,20260506,2
平日,20260720,2
平日,20260811,2
平日,20260813,2
平日,20260814,2
平日,20260921,2
平日,20260922,2
平日,20260923,2
平日,20261012,2
平日,20261103,2
平日,20261123,2
平日,20261229,2
平日,20261230,2
平日,20261231,2
平日,20270101,2
平日,20270111,2
平日,20270211,2
平日,20270223,2
平日,20270322,2
平日,20270429,2
土曜,20260815,2
土曜,20270102,2
日休,20260429,1
日休,20260504,1
日休,20260505,1
日休,20260506,1
日休,20260720,1
日休,20260811,1
日休,20260813,1
日休,20260814,1
日休,20260815,1
日休,20260921,1
日休,20260922,1
日休,20260923,1
日休,20261012,1
日休,20261103,1
日休,20261123,1
日休,20261229,1
日休,20261230,1
日休,20261231,1
日休,20270101,1
日休,20270102,1
日休,20270111,1
日休,20270211,1
日休,20270223,1
日休,20270322,1
日休,20270429,1
平日メーグル,20260429,2
平日メーグル,20260505,2
平日メーグル,20260506,2
平日メーグル,20260507,2
平日メーグル,20260721,2
平日メーグル,20260811,2
平日メーグル,20260813,2
平日メーグル,20260814,2
平日メーグル,20260922,2
平日メーグル,20260923,2
平日メーグル,20260924,2
平日メーグル,20261013,2
平日メーグル,20261103,2
平日メーグル,20261124,2
平日メーグル,20261229,2
平日メーグル,20261230,2
平日メーグル,20261231,2
平日メーグル,20270101,2
平日メーグル,20270112,2
平日メーグル,20270211,2
平日メーグル,20270223,2
平日メーグル,20270323,2
平日メーグル,20270429,2
土曜メーグル,20260815,2
土曜メーグル,20270102,2
日休メーグル,20260429,1
日休メーグル,20260504,1
日休メーグル,20260505,1
日休メーグル,20260506,1
日休メーグル,20260720,1
日休メーグル,20260811,1
日休メーグル,20260813,1
日休メーグル,20260814,1
日休メーグル,20260815,1
日休メーグル,20260921,1
日休メーグル,20260922,1
日休メーグル,20260923,1
日休メーグル,20261012,1
日休メーグル,20261103,1
日休メーグル,20261123,1
日休メーグル,20270103,2
日休メーグル,20270111,1
日休メーグル,20270211,1
日休メーグル,20270223,1
日休メーグル,20270322,1
日休メーグル,20270429,1
