jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
0001001,20260328,栄,高辻󠄀,星崎
0001002,20260328,星崎,高辻󠄀,栄
0001011,20260328,栄,高辻󠄀,鳴尾車庫
0001012,20260328,鳴尾車庫,高辻󠄀,栄
0001021,20260328,栄,高辻󠄀,笠寺駅
0001022,20260328,笠寺駅,高辻󠄀,栄
0002001,20260328,栄,茶屋ケ坂,引山
0002002,20260328,引山,茶屋ケ坂,栄
0002011,20260328,名古屋駅,茶屋ケ坂,猪高車庫
0002012,20260328,猪高車庫,茶屋ケ坂,名古屋駅
0002021,20260328,栄,茶屋ケ坂,四軒家
0002022,20260328,四軒家,茶屋ケ坂,栄
6101001,20260328,名古屋駅,大須本町通,名古屋駅
6201001,20260328,栄,今池,藤が丘
6201002,20260328,藤が丘,今池,栄
6202001,20260328,栄,名古屋駅,地下鉄高畑
6202002,20260328,地下鉄高畑,名古屋駅,栄
0101001,20260328,名古屋駅,東区役所,上飯田
0101002,20260328,上飯田,東区役所,名古屋駅
0101011,20260328,名古屋駅,白壁,大曽根
0101012,20260328,大曽根,白壁,名古屋駅
0102001,20260328,名古屋駅,長良橋,東海橋
0102002,20260328,東海橋,長良橋,名古屋駅
0102011,20260328,名古屋駅,長良橋,野跡駅
0102012,20260328,野跡駅,長良橋,名古屋駅
1011002,20260328,名古屋駅,名西橋,名古屋駅
1011012,20260328,康生通四丁目,名西橋,名古屋駅
1011022,20260328,名古屋駅,名西橋,白菊町
1012001,20260328,名古屋駅,大野木五丁目,如意車庫前
1012002,20260328,如意車庫前,大野木五丁目,名古屋駅
1012011,20260328,名古屋駅,月縄手,如意車庫前
1012012,20260328,如意車庫前,月縄手,名古屋駅
1013001,20260328,名古屋駅,辻󠄀本通,上飯田
1013002,20260328,上飯田,辻󠄀本通,名古屋駅
1013011,20260328,名古屋駅,福徳町,中切町
1013012,20260328,中切町,福徳町,名古屋駅
1013021,20260328,名古屋駅,菊ノ尾通二丁目,天神山
1013022,20260328,天神山,菊ノ尾通二丁目,名古屋駅
1013032,20260328,康生通一丁目,菊ノ尾通二丁目,名古屋駅
1014001,20260328,名古屋駅,土居下,大曽根
1014002,20260328,大曽根,土居下,名古屋駅
1014011,20260328,名古屋駅,愛知県図書館,市役所
1014012,20260328,市役所,愛知県図書館,名古屋駅
1015001,20260328,名古屋駅,浄心町,黒川
1015002,20260328,黒川,浄心町,名古屋駅
1015011,20260328,名古屋駅,押切町,浄心町
1015012,20260328,浄心町,押切町,名古屋駅
1015021,20260328,名古屋駅,黒川,茶屋ケ坂
1015022,20260328,茶屋ケ坂,黒川,名古屋駅
1015031,20260328,名古屋駅,黒川,西部医療センター
1015032,20260328,西部医療センター,黒川,名古屋駅
1015042,20260328,茶屋ケ坂,大曽根,黒川
1016002,20260328,名古屋駅,東新町,名古屋駅
1016011,20260328,名古屋駅,柳橋,広小路本町
1017001,20260328,名古屋駅,吹上,名古屋大学
1017002,20260328,名古屋大学,吹上,名古屋駅
1018001,20260328,名古屋駅,高辻󠄀,名鉄神宮前
1018002,20260328,名鉄神宮前,高辻󠄀,名古屋駅
1019001,20260328,名古屋駅,尾頭橋,港区役所
1019002,20260328,港区役所,尾頭橋,名古屋駅
1020001,20260328,名古屋駅,五月通,権野
1020002,20260328,権野,五月通,名古屋駅
1020011,20260328,名古屋駅,五月通,中川車庫前
1020012,20260328,中川車庫前,五月通,名古屋駅
1020021,20260328,名古屋駅,柳原橋,中川車庫前
1020022,20260328,中川車庫前,柳原橋,名古屋駅
1021001,20260328,名古屋駅,牧野町,稲西車庫
1021002,20260328,稲西車庫,牧野町,名古屋駅
1022001,20260328,名古屋駅,本陣,横井町
1022002,20260328,横井町,本陣,名古屋駅
1023001,20260328,名古屋駅,地下鉄岩塚,横井町
1023002,20260328,横井町,地下鉄岩塚,名古屋駅
1023011,20260328,名古屋駅,地下鉄岩塚,岩塚本通四丁目
1023012,20260328,岩塚本通四丁目,地下鉄岩塚,名古屋駅
1024001,20260328,名古屋駅,稲葉地町,大治西条
1024002,20260328,大治西条,稲葉地町,名古屋駅
1025001,20260328,名古屋駅,豊公橋,名古屋駅
1025002,20260328,名古屋駅,豊公橋,名古屋駅
1025021,20260328,豊公橋,本陣,名古屋駅
1025032,20260328,豊公橋,中島町,名古屋駅
1025041,20260328,名古屋駅,豊公橋,本陣
1025042,20260328,本陣,豊公橋,名古屋駅
1026001,20260328,名古屋駅,堀越町,平田住宅
1026002,20260328,平田住宅,堀越町,名古屋駅
1029001,20260328,名古屋駅,本陣,名古屋駅
1029002,20260328,名古屋駅,本陣,名古屋駅
1029011,20260328,名古屋駅,本陣,枇杷島スポーツセンター
1029012,20260328,枇杷島スポーツセンター,本陣,名古屋駅
0111001,20260328,栄,中切町四丁目,如意住宅
0111002,20260328,如意住宅,中切町四丁目,栄
0111011,20260328,栄,中切町四丁目,水分橋
0111012,20260328,水分橋,中切町四丁目,栄
0111021,20260328,黒川,中切町四丁目,如意住宅
0111022,20260328,如意住宅,中切町四丁目,黒川
0111031,20260328,黒川,中切町四丁目,水分橋
0111032,20260328,水分橋,中切町四丁目,黒川
0111042,20260328,味鋺小学校北,中切町四丁目,栄
0111061,20260328,西部医療センター,中切町四丁目,如意住宅
0111062,20260328,如意住宅,中切町四丁目,西部医療センター
0111071,20260328,西部医療センター,中切町四丁目,水分橋
0111072,20260328,水分橋,中切町四丁目,西部医療センター
0112001,20260328,栄,笹島町,新大正橋西
0112002,20260328,新大正橋西,笹島町,栄
0112012,20260328,稲葉地町,笹島町,栄
1111001,20260328,栄,庄内公園,如意車庫前
1111002,20260328,如意車庫前,庄内公園,栄
1111011,20260328,栄,庄内公園,平田住宅
1111012,20260328,平田住宅,庄内公園,栄
1111022,20260328,中丸町,城北橋,栄
1111051,20260328,栄,西部医療センター,如意車庫前
1111052,20260328,如意車庫前,西部医療センター,栄
1111061,20260328,栄,西部医療センター,平田住宅
1111062,20260328,平田住宅,西部医療センター,栄
1111071,20260328,栄,西部医療センター,如意住宅
1111072,20260328,如意住宅,西部医療センター,栄
1112001,20260328,栄,赤塚,安井町西
1112002,20260328,安井町西,赤塚,栄
1113001,20260328,栄,名古屋城正門前,安井町西
1113002,20260328,安井町西,名古屋城正門前,栄
1113012,20260328,川中,名古屋城正門前,栄
1114001,20260328,栄,赤塚,上飯田
1114002,20260328,上飯田,赤塚,栄
1115001,20260328,栄,大曽根,新守山駅
1115002,20260328,新守山駅,大曽根,栄
1115011,20260328,大曽根,幸心,新守山駅
1115012,20260328,新守山駅,幸心,大曽根
1116001,20260328,栄,新栄三丁目,名古屋大学
1116002,20260328,名古屋大学,新栄三丁目,栄
1117001,20260328,栄,吹上,名古屋大学
1117002,20260328,名古屋大学,吹上,栄
1118001,20260328,栄,塩付,妙見町
1118002,20260328,妙見町,塩付,栄
1120001,20260328,栄,石川橋,瑞穂運動場東
1120002,20260328,瑞穂運動場東,石川橋,栄
1120011,20260328,栄,大殿町,新瑞橋
1120012,20260328,新瑞橋,大殿町,栄
1121001,20260328,栄,金山,泉楽通四丁目
1121002,20260328,泉楽通四丁目,金山,栄
1122001,20260328,栄,一番三丁目,港区役所
1122002,20260328,港区役所,一番三丁目,栄
1123001,20260328,栄,野田町,中川車庫前
1123002,20260328,中川車庫前,野田町,栄
1123011,20260328,栄,地下鉄高畑,中川車庫前
1123012,20260328,中川車庫前,地下鉄高畑,栄
1124001,20260328,栄,牧野町,稲西車庫
1124002,20260328,稲西車庫,牧野町,栄
1125001,20260328,栄,浄心町,名塚中学
1125002,20260328,名塚中学,浄心町,栄
1125011,20260328,栄,浄心町,名西橋
1125012,20260328,名西橋,浄心町,栄
1125022,20260328,浄心町,市役所,栄
1126002,20260328,栄,市立大学病院,栄
1127001,20260328,栄,名西橋,栄
1127002,20260328,栄,名西橋,栄
1127011,20260328,栄,名西橋,浄心町
1127012,20260328,浄心町,名西橋,栄
1211001,20260328,金山,藤成通五丁目,池下
1211002,20260328,池下,藤成通五丁目,金山
1211011,20260328,桜山,藤成通五丁目,池下
1211012,20260328,池下,藤成通五丁目,桜山
1212001,20260328,金山,菊園町一丁目,妙見町
1212002,20260328,妙見町,菊園町一丁目,金山
1212012,20260328,金山,桜山,金山
1212021,20260328,市立大学病院,菊園町一丁目,妙見町
1214001,20260328,金山,桜山,瑞穂運動場東
1214002,20260328,瑞穂運動場東,桜山,金山
1214011,20260328,金山,豆田町,瑞穂運動場東
1214012,20260328,瑞穂運動場東,豆田町,金山
1215001,20260328,金山,牛巻,瑞穂運動場東
1215002,20260328,瑞穂運動場東,牛巻,金山
1216001,20260328,金山,藤成通五丁目,瑞穂運動場東
1216002,20260328,瑞穂運動場東,藤成通五丁目,金山
1218001,20260328,金山,大慶橋,要町
1218002,20260328,要町,大慶橋,金山
1218011,20260328,名鉄堀田,大慶橋,要町
1218012,20260328,要町,大慶橋,名鉄堀田
1219001,20260328,神宮東門,大江町,潮見町南
1219002,20260328,潮見町南,大江町,神宮東門
1219011,20260328,金山,大江町,メグラスガーデンナゴヤ
1219012,20260328,メグラスガーデンナゴヤ,大江町,金山
1219021,20260328,神宮東門,大江町,メグラスガーデンナゴヤ
1219022,20260328,メグラスガーデンナゴヤ,大江町,神宮東門
1219031,20260328,中京病院,大江町,メグラスガーデンナゴヤ
1219041,20260328,神宮東門,大江町,鳴尾車庫
1219042,20260328,鳴尾車庫,大江町,神宮東門
1219051,20260328,金山,神宮東門,泉楽通四丁目
1219052,20260328,泉楽通四丁目,神宮東門,金山
1220001,20260328,金山,野立小学校,権野
1220002,20260328,権野,野立小学校,金山
1221001,20260328,金山,長良橋,中川車庫前
1221002,20260328,中川車庫前,長良橋,金山
1221011,20260328,金山,長良橋,地下鉄高畑
1221012,20260328,地下鉄高畑,長良橋,金山
1222001,20260328,金山,地下鉄高畑,戸田
