table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja,名古屋市バス,,,名古屋市バス
agency,agency_name,ja-Hrkt,なごやしばす,,,名古屋市バス
agency,agency_name,en,Nagoya City Bus,,,名古屋市バス
stops,stop_name,ja,相川一丁目,,,相川一丁目
stops,stop_name,ja,相生山住宅,,,相生山住宅
stops,stop_name,ja,相生山住宅南,,,相生山住宅南
stops,stop_name,ja,相川二丁目,,,相川二丁目
stops,stop_name,ja,相川三丁目,,,相川三丁目
stops,stop_name,ja,愛知県図書館,,,愛知県図書館
stops,stop_name,ja,青峰通,,,青峰通
stops,stop_name,ja,青柳町,,,青柳町
stops,stop_name,ja,赤坂町,,,赤坂町
stops,stop_name,ja,赤塚,,,赤塚
stops,stop_name,ja,赤塚白壁,,,赤塚白壁
stops,stop_name,ja,赤坪町,,,赤坪町
stops,stop_name,ja,赤松,,,赤松
stops,stop_name,ja,曙町一丁目,,,曙町一丁目
stops,stop_name,ja,曙町二丁目,,,曙町二丁目
stops,stop_name,ja,旭桜ケ丘,,,旭桜ケ丘
stops,stop_name,ja,旭労災病院,,,旭労災病院
stops,stop_name,ja,味鋺住宅,,,味鋺住宅
stops,stop_name,ja,味鋺小学校北,,,味鋺小学校北
stops,stop_name,ja,東橋,,,東橋
stops,stop_name,ja,愛宕西,,,愛宕西
stops,stop_name,ja,熱田駅,,,熱田駅
stops,stop_name,ja,熱田駅西,,,熱田駅西
stops,stop_name,ja,熱田区役所,,,熱田区役所
stops,stop_name,ja,熱田生涯学習センター,,,熱田生涯学習センター
stops,stop_name,ja,熱田伝馬町,,,熱田伝馬町
stops,stop_name,ja,熱田西町,,,熱田西町
stops,stop_name,ja,熱田プール,,,熱田プール
stops,stop_name,ja,穴ケ洞,,,穴ケ洞
stops,stop_name,ja,油屋町一丁目,,,油屋町一丁目
stops,stop_name,ja,油屋町二丁目,,,油屋町二丁目
stops,stop_name,ja,雨池,,,雨池
stops,stop_name,ja,天子田,,,天子田
stops,stop_name,ja,天塚町,,,天塚町
stops,stop_name,ja,阿由知通二丁目,,,阿由知通二丁目
stops,stop_name,ja,荒池,,,荒池
stops,stop_name,ja,荒池二丁目,,,荒池二丁目
stops,stop_name,ja,荒池緑地,,,荒池緑地
stops,stop_name,ja,新木町,,,新木町
stops,stop_name,ja,荒子一丁目,,,荒子一丁目
stops,stop_name,ja,荒子駅,,,荒子駅
stops,stop_name,ja,荒子川公園北,,,荒子川公園北
stops,stop_name,ja,荒子川公園駅,,,荒子川公園駅
stops,stop_name,ja,荒子観音,,,荒子観音
stops,stop_name,ja,荒子町,,,荒子町
stops,stop_name,ja,荒田,,,荒田
stops,stop_name,ja,新瑞橋,,,新瑞橋
stops,stop_name,ja,荒中町,,,荒中町
stops,stop_name,ja,荒畑,,,荒畑
stops,stop_name,ja,荒輪井,,,荒輪井
stops,stop_name,ja,有松インター北,,,有松インター北
stops,stop_name,ja,有松小学校,,,有松小学校
stops,stop_name,ja,有松町口無池,,,有松町口無池
stops,stop_name,ja,有松町清水山,,,有松町清水山
stops,stop_name,ja,有松中町,,,有松中町
stops,stop_name,ja,飯田町,,,飯田町
stops,stop_name,ja,池内町,,,池内町
stops,stop_name,ja,池上,,,池上
stops,stop_name,ja,池上台,,,池上台
stops,stop_name,ja,池下,,,池下
stops,stop_name,ja,池場一丁目,,,池場一丁目
stops,stop_name,ja,池端,,,池端
stops,stop_name,ja,池花町,,,池花町
stops,stop_name,ja,石川橋,,,石川橋
stops,stop_name,ja,一色大橋,,,一色大橋
stops,stop_name,ja,石薬師,,,石薬師
stops,stop_name,ja,惟信高校,,,惟信高校
stops,stop_name,ja,惟信高校正門,,,惟信高校正門
stops,stop_name,ja,惟信町,,,惟信町
stops,stop_name,ja,猪高車庫,,,猪高車庫
stops,stop_name,ja,猪高小学校,,,猪高小学校
stops,stop_name,ja,猪高台,,,猪高台
stops,stop_name,ja,猪高緑地,,,猪高緑地
stops,stop_name,ja,猪高緑地南,,,猪高緑地南
stops,stop_name,ja,一番三丁目,,,一番三丁目
stops,stop_name,ja,一柳中学校,,,一柳中学校
stops,stop_name,ja,一社,,,一社
stops,stop_name,ja,一州町,,,一州町
stops,stop_name,ja,一州町南,,,一州町南
stops,stop_name,ja,稲永駅,,,稲永駅
stops,stop_name,ja,稲永小学校,,,稲永小学校
stops,stop_name,ja,稲永新田,,,稲永新田
stops,stop_name,ja,稲永町,,,稲永町
stops,stop_name,ja,稲永ふ頭,,,稲永ふ頭
stops,stop_name,ja,稲永スポーツセンター,,,稲永スポーツセンター
stops,stop_name,ja,稲上町,,,稲上町
stops,stop_name,ja,稲西車庫,,,稲西車庫
stops,stop_name,ja,稲葉地公園,,,稲葉地公園
stops,stop_name,ja,稲葉地町,,,稲葉地町
stops,stop_name,ja,稲葉地本通,,,稲葉地本通
stops,stop_name,ja,稲生町,,,稲生町
stops,stop_name,ja,猪子石一丁目,,,猪子石一丁目
stops,stop_name,ja,猪子石小学校,,,猪子石小学校
stops,stop_name,ja,猪子石荘,,,猪子石荘
stops,stop_name,ja,猪子石中学校,,,猪子石中学校
stops,stop_name,ja,猪之越町,,,猪之越町
stops,stop_name,ja,猪子石団地,,,猪子石団地
stops,stop_name,ja,猪子石西原,,,猪子石西原
stops,stop_name,ja,猪子石原,,,猪子石原
stops,stop_name,ja,茨木町,,,茨木町
stops,stop_name,ja,今池,,,今池
stops,stop_name,ja,鋳物師洞,,,鋳物師洞
stops,stop_name,ja,杁中,,,杁中
stops,stop_name,ja,入場,,,入場
stops,stop_name,ja,入場二丁目,,,入場二丁目
stops,stop_name,ja,いろは橋西,,,いろは橋西
stops,stop_name,ja,岩井通一丁目,,,岩井通一丁目
stops,stop_name,ja,岩塚石橋,,,岩塚石橋
stops,stop_name,ja,岩塚小学校,,,岩塚小学校
stops,stop_name,ja,岩塚本通三丁目,,,岩塚本通三丁目
stops,stop_name,ja,岩塚本通四丁目,,,岩塚本通四丁目
stops,stop_name,ja,岩塚本通五丁目,,,岩塚本通五丁目
stops,stop_name,ja,岩戸町,,,岩戸町
stops,stop_name,ja,印場,,,印場
stops,stop_name,ja,印場東,,,印場東
