"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"35255","35255","Northglenn - 112th Station Track 2","Vehicles Travelling North","39.903194","-104.960028","C",,"0","35366",,"1"
"35247","35247","48th & Brighton-National Western Station Track 1","Vehicles Travelling North","39.785151","-104.96781","A",,"0","35362",,"1"
"34668","34668","Union Station Track 2","Vehicles Travelling East","39.753269","-105.00108","A",,"0","33727",,"1"
"33851","33851","Wadsworth / Hampden","Vehicles Travelling North","39.650897","-105.082726",,,"1",,,"0"
"33719","33719","Nine Mile Station","Vehicles Travelling North","39.658414","-104.845517",,,"1",,,"0"
"33713","33713","Evans Station","Vehicles Travelling North","39.677962","-104.992465",,,"1",,,"0"
"34508","34508","Pecos Junction Station","Vehicles Travelling North","39.805421","-105.003505",,,"1",,,"0"
"35353","35353","Platte Valley","Vehicles Travelling North","39.725296","-105.00561",,,"0",,,"1"
"34677","34677","Iliff Station","Vehicles Travelling North","39.673511","-104.826044",,,"1",,,"0"
"33820","33820","Longmont","Vehicles Travelling North","40.149505","-105.103068",,,"1",,,"0"
"34454","34454","Boulder Junction at Depot Square Station","Vehicles Travelling North","40.024131","-105.25162",,,"1",,,"0"
"34685","34685","61st / Pena Station","Vehicles Travelling North","39.806945","-104.783907",,,"1",,,"0"
"35362","35362","48th Ave/Brighton Blvd @ Nat`L Western Ctr","Vehicles Travelling North","39.784667","-104.967472",,,"1",,,"0"
"35366","35366","Northglenn / 112th Ave Station","Vehicles Travelling North","39.902677","-104.959583",,,"1",,,"0"
"33836","33836","Parker","Vehicles Travelling North","39.523334","-104.763812",,,"1",,,"0"
"33931","33931","Meridian","Vehicles Travelling ","39.542472","-104.860631",,,"0",,,"1"
"33732","33732","Thornton East Side","Vehicles Travelling North","39.855342","-104.985899",,,"1",,,"0"
"26048","26048","Wagon Road PnR Gate A","Vehicles Travelling East","39.912257","-104.993695",,,"0","33746",,"1"
"26291","26291","Dry Creek Station Gate B","Vehicles Travelling East","39.578878","-104.878904",,,"0","33711",,"1"
"33835","33835","Paradise Hills","Vehicles Travelling North","39.704446","-105.250268",,,"1",,,"0"
"33737","33737","US 36 / Church Ranch Station East Side","Vehicles Travelling North","39.89013","-105.07321",,,"1",,,"0"
"34680","34680","2nd Ave & Abilene Station","Vehicles Travelling North","39.719484","-104.825073",,,"1",,,"0"
"34140","34140","Federal / Evans","Vehicles Travelling North","39.678787","-105.025263",,,"1",,,"0"
"34109","34109","10th / Osage Station","Vehicles Travelling North","39.73215","-105.0055",,,"1",,,"0"
"26183","26183","Littleton / Mineral Station Gate E","Vehicles Travelling North","39.581089","-105.025508",,,"0","33716",,"1"
"33711","33711","Dry Creek Station","Vehicles Travelling North","39.579487","-104.877416",,,"1",,,"0"
"33846","33846","US 285 / Mountain View","Vehicles Travelling North","39.502526","-105.322924",,,"1",,,"0"
"34232","34232","Decatur-Federal Station","Vehicles Travelling North","39.737418","-105.024806",,,"1",,,"0"
"26557","26557","Lincoln Station CnR","Vehicles Travelling West","39.545735","-104.86887",,,"0","33714",,"1"
"34251","34251","60th / Dahlia","Vehicles Travelling North","39.805189","-104.92926",,,"1",,,"0"
"33887","33887","Longmont","Vehicles Travelling North","40.1692","-105.113304",,,"0",,,"1"
"34502","34502","Peoria Station","Vehicles Travelling North","39.766094","-104.852057",,,"1",,,"0"
"33724","33724","Colfax at Auraria Station","Vehicles Travelling North","39.740277","-105.001338",,,"1",,,"0"
"33786","33786","104th Ave / Revere","Vehicles Travelling North","39.884829","-104.843141",,,"1",,,"0"
"33935","33935","Parker","Vehicles Travelling ","39.524121","-104.763622",,,"0",,,"1"
