"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"117N","SA","115878699","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878673","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878706","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878683","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878717","Union Station","1"," 117  1","1334013"
"117N","SA","115878733","Union Station","1"," 117  1","1334013"
"117N","SA","115878739","Union Station","1"," 117  1","1334013"
"117N","SA","115878728","Union Station","1"," 117  2","1334013"
"117N","SA","115878729","Union Station","1"," 117  3","1334013"
"117N","SA","115878744","Union Station","1"," 117  3","1334013"
"117N","SU","115878786","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878754","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878765","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878770","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878797","Union Station","1"," 117  1","1334013"
"117N","SU","115878812","Union Station","1"," 117  1","1334013"
"117N","SU","115878817","Union Station","1"," 117  1","1334013"
"117N","SU","115878804","Union Station","1"," 117  2","1334013"
"117N","SU","115878808","Union Station","1"," 117  3","1334013"
"117N","MT","115878597","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878618","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878619","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878625","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878646","Union Station","1"," 117  1","1334013"
"117N","MT","115878649","Union Station","1"," 117  1","1334013"
"117N","MT","115878647","Union Station","1"," 117  2","1334013"
"117N","MT","115878650","Union Station","1"," 117  2","1334013"
"117N","MT","115878627","Union Station","1"," 117  3","1334013"
"117N","FR","115878523","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878574","Union Station","1"," 117  1","1334013"
"117N","FR","115878579","Union Station","1"," 117  1","1334013"
"117N","FR","115878550","Union Station","1"," 117  1","1334013"
