stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
35254,35254,Northglenn - 112th Station Track 1,Vehicles Travelling South,39.902133,-104.960231,C,,0,35366,,1,
25436,25436,Englewood Station,Vehicles Travelling South,39.655291,-105.000065,B,,0,33712,,1,
13012,13012,W Colfax Ave & Welch St,Vehicles Travelling West,39.74013,-105.138516,,,0,,,1,
24896,24896,Littleton / Mineral Ave Station,Vehicles Travelling North,39.580413,-105.024812,C,,0,33716,,1,
15705,15705,South Golden Rd & Camp George West,Vehicles Travelling East,39.733711,-105.171819,,,0,,,1,
16680,16680,Table Mesa Dr & 39th St,Vehicles Travelling East,39.985739,-105.247903,,,0,33788,,1,
23061,23061,I-25 & Broadway Station Center Track,Vehicles Travelling Southeast,39.701418,-104.990111,A,,0,33686,,1,
14508,14508,CO 93 & Mile Post 9,Vehicles Travelling North,39.884572,-105.240989,,,0,,,1,
33559,33559,Knox Station,Vehicles Travelling West,39.735687,-105.033303,A,,0,34233,,1,
17936,17936,CO 93 & Pine Ridge Rd,Vehicles Travelling Northeast,39.777494,-105.232423,,,0,,,1,
25435,25435,Evans Station,Vehicles Travelling South,39.677331,-104.992946,B,,0,33713,,1,
33568,33568,Jeffco Government Center Station,Vehicles Travelling West,39.726394,-105.200985,C,,0,34241,,1,
33565,33565,Oak Station,Vehicles Travelling West,39.7374,-105.120463,B,,0,34239,,1,
34530,34530,Clear Creek - Federal Station Track 1,Vehicles Travelling West,39.804019,-105.023739,B,,0,34507,,1,
34605,34605,61st & Pena Station Track 1,Vehicles Travelling East,39.807307,-104.783939,C,,0,34685,,1,
33661,33661,Federal Center Station Gate P,Vehicles Travelling East,39.719619,-105.1284,,,0,33741,,1,P {1304}
34582,34582,2nd & Abilene Station,Vehicles Travelling South,39.71895,-104.825879,C,,0,34680,,1,
19775,19775,US 36 & McCaslin Station Gate A,Vehicles Travelling East,39.958022,-105.168041,,,0,34706,,1,A {2008}
12470,12470,Broadway & Canyon Blvd,Vehicles Travelling North,40.015306,-105.278986,,,0,,,1,
34344,34344,Union Station,Vehicles Travelling North,39.7552,-105.00255,,,0,33727,,1,
12863,12863,W Colfax Ave & Cole Blvd,Vehicles Travelling West,39.738431,-105.154022,,,0,,,1,
13022,13022,W Colfax Ave & Youngfield St,Vehicles Travelling East,39.739529,-105.142512,,,0,,,1,
