route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101C,FR,115905889,C-Line Union Station,0, 101 16,1333836
101C,FR,115905890,C-Line Union Station,0, 101 15,1333836
101C,FR,115905891,C-Line Union Station,0, 101 13,1333836
101C,FR,115905892,C-Line Union Station,0, 101 11,1333836
101C,FR,115905893,C-Line Union Station,0, 101 15,1333836
101C,FR,115905894,C-Line Union Station,0, 101 13,1333836
101C,FR,115905895,C-Line Union Station,0, 101 11,1333836
101C,FR,115905896,C-Line Union Station,0, 101 16,1333836
101C,FR,115905897,C-Line Union Station,0, 101 15,1333836
101C,FR,115905898,C-Line Union Station,0, 101 14,1333836
101C,FR,115905899,C-Line Union Station,0, 101 16,1333836
101C,FR,115905900,C-Line Union Station,0, 101 15,1333836
101C,FR,115905901,C-Line Union Station,0, 101 14,1333836
101C,FR,115905902,C-Line Union Station,0, 101 16,1333836
101C,FR,115905903,C-Line Union Station,0, 101 15,1333836
101C,FR,115905904,C-Line Union Station,0, 101 14,1333836
101C,FR,115905905,C-Line Union Station,0, 101 16,1333836
101C,FR,115905906,C-Line Union Station,0, 101 15,1333836
101C,FR,115905907,C-Line Union Station,0, 101 14,1333836
101C,FR,115905908,C-Line Union Station,0, 101 16,1333836
101C,FR,115905909,C-Line Union Station,0, 101 15,1333836
101C,FR,115905910,C-Line Union Station,0, 101 14,1333836
101C,FR,115905911,C-Line Union Station,0, 101 16,1333836
101C,FR,115905912,C-Line Union Station,0, 101 15,1333836
101C,FR,115905913,C-Line Union Station,0, 101 14,1333836
101C,FR,115905914,C-Line Union Station,0, 101 16,1333836
101C,FR,115905915,C-Line Union Station,0, 101 15,1333836
101C,FR,115905916,C-Line Union Station,0, 101 14,1333836
101C,FR,115905917,C-Line Union Station,0, 101 16,1333836
101C,FR,115905918,C-Line Union Station,0, 101 15,1333836
101C,FR,115905919,C-Line Union Station,0, 101 14,1333836
101C,FR,115905920,C-Line Union Station,0, 101 16,1333836
101C,FR,115905921,C-Line Union Station,0, 101 15,1333836
101C,FR,115905922,C-Line Union Station,0, 101 11,1333836
101C,FR,115905923,C-Line Union Station,0, 101 12,1333836
101C,FR,115905945,C-Line Union Station,0, 101 13,1333836
101C,FR,115905946,C-Line Union Station,0, 101 11,1333836
101C,FR,115905947,C-Line Union Station,0, 101 12,1333836
101C,FR,115905948,C-Line Union Station,0, 101 13,1333836
101C,FR,115905949,C-Line Union Station,0, 101 11,1333836
101C,FR,115905950,C-Line Union Station,0, 101 12,1333836
101C,FR,115905951,C-Line Union Station,0, 101 13,1333836
101C,FR,115905952,C-Line Union Station,0, 101 11,1333836
101C,FR,115905953,C-Line Union Station,0, 101 12,1333836
101C,FR,115905954,C-Line Union Station,0, 101 13,1333836
101C,FR,115905955,C-Line Union Station,0, 101 11,1333836
101C,FR,115905956,C-Line Union Station,0, 101 12,1333836
101C,FR,115905957,C-Line Union Station,0, 101 13,1333836
101C,FR,115905958,C-Line Union Station,0, 101 11,1333836
101C,FR,115905959,C-Line Union Station,0, 101 12,1333836
101C,FR,115905960,C-Line Union Station,0, 101 13,1333836
101C,FR,115905961,C-Line Union Station,0, 101 11,1333836
101C,FR,115905962,C-Line Union Station,0, 101 12,1333836
101C,FR,115905963,C-Line Union Station,0, 101 13,1333836
101C,FR,115905964,C-Line Union Station,0, 101 11,1333836
101C,FR,115905965,C-Line Union Station,0, 101 12,1333836
101C,FR,115905966,C-Line Union Station,0, 101 13,1333836
101C,FR,115905967,C-Line Union Station,0, 101 11,1333836
101C,FR,115905968,C-Line Union Station,0, 101 12,1333836
101C,FR,115905969,C-Line Union Station,0, 101 13,1333836
101C,FR,115905970,C-Line Union Station,0, 101 11,1333836
101C,FR,115905971,C-Line Union Station,0, 101 16,1333836
101C,FR,115905972,C-Line Union Station,0, 101 15,1333836
101C,FR,115905973,C-Line Union Station,0, 101 13,1333836
101C,FR,115905974,C-Line Union Station,0, 101 11,1333836
101C,FR,115905975,C-Line Union Station,0, 101 16,1333836
101C,FR,115905993,C-Line Union Station,0, 101 14,1333836
101C,FR,115906122,C-Line to Mineral,1, 101 14,1333865
101C,FR,115906187,C-Line to Mineral,1, 101 11,1333867
101C,FR,115906188,C-Line to Mineral,1, 101 12,1333867
101C,FR,115906189,C-Line to Mineral,1, 101 13,1333867
101C,FR,115906190,C-Line to Mineral,1, 101 11,1333867
101C,FR,115906191,C-Line to Mineral,1, 101 12,1333867
101C,FR,115906192,C-Line to Mineral,1, 101 13,1333867
101C,FR,115906193,C-Line to Mineral,1, 101 11,1333867
101C,FR,115906194,C-Line to Mineral,1, 101 12,1333867
101C,FR,115906195,C-Line to Mineral,1, 101 13,1333867
101C,FR,115906196,C-Line to Mineral,1, 101 11,1333867
101C,FR,115906197,C-Line to Mineral,1, 101 12,1333867
