leg_group_id,network_id,from_area_id,to_area_id,from_timeframe_group_id,to_timeframe_group_id,fare_product_id
non_airport_fare,standard_fare_network,local_fare_zone,local_fare_zone,,,three_hour
airport_fare,free_ride_service,free_service,free_service,,,free_transfer
airport_fare,standard_fare_network,free_service,free_service,,,free_transfer
airport_fare,airport_network,free_service,free_service,,,free_transfer
airport_fare,free_ride_service,airport_fare_zone,free_service,,,airport_day_pass
free_service,free_ride_service,local_fare_zone,local_fare_zone,,,free_mall_ride
non_airport_fare,standard_fare_network,free_service,local_fare_zone,,,three_hour
non_airport_fare,standard_fare_network,local_fare_zone,airport_fare_zone,,,airport_day_pass
airport_fare,airport_network,local_fare_zone,local_fare_zone,,,three_hour
airport_fare,airport_network,local_fare_zone,airport_fare_zone,,,airport_day_pass
airport_fare,airport_network,airport_fare_zone,airport_fare_zone,,,airport_day_pass
free_service,free_ride_service,local_fare_zone,free_service,,,free_metro_ride
non_airport_fare,free_ride_service,local_fare_zone,local_fare_zone,,,three_hour
airport_fare,airport_network,airport_fare_zone,local_fare_zone,,,airport_day_pass
airport_fare,airport_network,airport_fare_zone,free_service,,,airport_day_pass
free_service,free_ride_service,free_service,local_fare_zone,,,free_metro_ride
non_airport_fare,free_ride_service,free_service,local_fare_zone,,,three_hour
airport_fare,standard_fare_network,airport_fare_zone,airport_fare_zone,,,airport_day_pass
airport_fare,free_ride_service,free_service,airport_fare_zone,,,airport_day_pass
non_airport_fare,standard_fare_network,free_service,free_service,,,three_hour
non_airport_fare,standard_fare_network,local_fare_zone,free_service,,,three_hour
airport_fare,airport_network,free_service,airport_fare_zone,,,airport_day_pass
free_service,free_ride_service,free_service,local_fare_zone,,,free_mall_ride
free_service,free_ride_service,free_service,free_service,,,free_metro_ride
non_airport_fare,free_ride_service,local_fare_zone,free_service,,,three_hour
free_service,free_ride_service,free_service,free_service,,,free_mall_ride
free_service,free_ride_service,local_fare_zone,local_fare_zone,,,free_metro_ride
non_airport_fare,free_ride_service,free_service,free_service,,,three_hour
airport_fare,free_ride_service,airport_fare_zone,airport_fare_zone,,,airport_day_pass
free_service,free_ride_service,local_fare_zone,free_service,,,free_mall_ride
non_airport_fare,standard_fare_network,airport_fare_zone,local_fare_zone,,,airport_day_pass
