trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1020,6:05:00,6:05:00,525,1,,0,0,0,1
1020,6:06:39,6:06:39,526,2,,0,0,514.35,0
1020,6:08:04,6:08:04,837,3,,0,0,893.39,0
1020,6:09:35,6:09:35,11,4,,0,0,1451.63,0
1020,6:11:00,6:11:00,612,5,,0,0,1820.85,1
1060,6:05:00,6:05:00,525,1,,0,0,0,1
1060,6:06:39,6:06:39,526,2,,0,0,514.35,0
1060,6:08:04,6:08:04,837,3,,0,0,893.39,0
1060,6:09:35,6:09:35,11,4,,0,0,1451.63,0
1060,6:11:00,6:11:00,612,5,,0,0,1820.85,1
1090,6:05:00,6:05:00,525,1,,0,0,0,1
1090,6:06:39,6:06:39,526,2,,0,0,514.35,0
1090,6:08:04,6:08:04,837,3,,0,0,893.39,0
1090,6:09:35,6:09:35,11,4,,0,0,1451.63,0
1090,6:11:00,6:11:00,612,5,,0,0,1820.85,1
1100,6:05:00,6:05:00,525,1,,0,0,0,1
1100,6:06:39,6:06:39,526,2,,0,0,514.35,0
1100,6:08:04,6:08:04,837,3,,0,0,893.39,0
1100,6:09:35,6:09:35,11,4,,0,0,1451.63,0
1100,6:11:00,6:11:00,612,5,,0,0,1820.85,1
1120,6:05:00,6:05:00,525,1,,0,0,0,1
1120,6:06:39,6:06:39,526,2,,0,0,514.35,0
1120,6:08:04,6:08:04,837,3,,0,0,893.39,0
1120,6:09:35,6:09:35,11,4,,0,0,1451.63,0
1120,6:11:00,6:11:00,612,5,,0,0,1820.85,1
1140,6:05:00,6:05:00,525,1,,0,0,0,1
1140,6:06:39,6:06:39,526,2,,0,0,514.35,0
1140,6:08:04,6:08:04,837,3,,0,0,893.39,0
1140,6:09:35,6:09:35,11,4,,0,0,1451.63,0
1140,6:11:00,6:11:00,612,5,,0,0,1820.85,1
2070,6:05:00,6:05:00,525,1,,0,0,0,1
2070,6:06:39,6:06:39,526,2,,0,0,514.35,0
2070,6:08:04,6:08:04,837,3,,0,0,893.39,0
2070,6:09:35,6:09:35,11,4,,0,0,1451.63,0
2070,6:11:00,6:11:00,612,5,,0,0,1820.85,1
2150,6:05:00,6:05:00,525,1,,0,0,0,1
2150,6:06:39,6:06:39,526,2,,0,0,514.35,0
2150,6:08:04,6:08:04,837,3,,0,0,893.39,0
2150,6:09:35,6:09:35,11,4,,0,0,1451.63,0
2150,6:11:00,6:11:00,612,5,,0,0,1820.85,1
3060,24:45:00,24:45:00,873,1,,0,0,0,1
3060,24:45:55,24:45:55,25,2,,0,0,511.77,0
3060,24:46:40,24:46:40,32,3,,0,0,979.56,0
3060,24:47:40,24:47:40,886,4,,0,0,1629.27,0
3060,24:48:09,24:48:09,713,5,,0,0,1945.02,0
3060,24:49:00,24:49:00,544,6,,0,0,2523.02,1
3060,24:50:43,24:50:43,813,7,,0,0,3305.83,0
3060,24:51:22,24:51:22,226,8,,0,0,3622.03,0
3060,24:52:17,24:52:17,227,9,,0,0,3983.36,0
3060,24:53:07,24:53:07,228,10,,0,0,4330.71,0
3060,24:53:58,24:53:58,229,11,,0,0,4677.45,0
3060,24:55:00,24:55:00,230,12,,0,0,5071.53,1
3060,24:55:36,24:55:36,232,13,,0,0,5735.15,0
3060,24:56:04,24:56:04,234,14,,0,0,6345,0
3060,24:56:34,24:56:34,235,15,,0,0,6983.46,0
3060,24:56:53,24:56:53,236,16,,0,0,7381.02,0
3060,24:57:07,24:57:07,237,17,,0,0,7681.04,0
3060,24:57:33,24:57:33,239,18,,0,0,8278.95,0
3060,24:58:00,24:58:00,241,19,,0,0,8888.77,1
3060,24:59:05,24:59:05,242,20,,0,0,9376.21,0
3060,24:59:51,24:59:51,814,21,,0,0,9678.96,0
3060,25:00:31,25:00:31,244,22,,0,0,9976.56,0
3060,25:01:04,25:01:04,245,23,,0,0,10212.55,0
3060,25:02:23,25:02:23,736,24,,0,0,10663.05,0
3060,25:04:27,25:04:27,737,25,,0,0,11377.86,0
3060,25:05:35,25:05:35,505,26,,0,0,11854.34,0
3060,25:06:51,25:06:51,19,27,,0,0,12297.74,0
3060,25:08:22,25:08:22,21,28,,0,0,12917.52,0
3060,25:09:23,25:09:23,22,29,,0,0,13330.83,0
3060,25:10:21,25:10:21,776,30,,0,0,13757.45,0
3060,25:12:00,25:12:00,873,31,,0,0,14448.06,1
3100,24:45:00,24:45:00,873,1,,0,0,0,1
3100,24:45:55,24:45:55,25,2,,0,0,511.77,0
3100,24:46:40,24:46:40,32,3,,0,0,979.56,0
3100,24:47:40,24:47:40,886,4,,0,0,1629.27,0
3100,24:48:09,24:48:09,713,5,,0,0,1945.02,0
3100,24:49:00,24:49:00,544,6,,0,0,2523.02,1
3100,24:50:43,24:50:43,813,7,,0,0,3305.83,0
3100,24:51:22,24:51:22,226,8,,0,0,3622.03,0
3100,24:52:17,24:52:17,227,9,,0,0,3983.36,0
3100,24:53:07,24:53:07,228,10,,0,0,4330.71,0
3100,24:53:58,24:53:58,229,11,,0,0,4677.45,0
3100,24:55:00,24:55:00,230,12,,0,0,5071.53,1
3100,24:55:36,24:55:36,232,13,,0,0,5735.15,0
3100,24:56:04,24:56:04,234,14,,0,0,6345,0
3100,24:56:34,24:56:34,235,15,,0,0,6983.46,0
3100,24:56:53,24:56:53,236,16,,0,0,7381.02,0
3100,24:57:07,24:57:07,237,17,,0,0,7681.04,0
3100,24:57:33,24:57:33,239,18,,0,0,8278.95,0
3100,24:58:00,24:58:00,241,19,,0,0,8888.77,1
3100,24:59:05,24:59:05,242,20,,0,0,9376.21,0
3100,24:59:51,24:59:51,814,21,,0,0,9678.96,0
3100,25:00:31,25:00:31,244,22,,0,0,9976.56,0
3100,25:01:04,25:01:04,245,23,,0,0,10212.55,0
3100,25:02:23,25:02:23,736,24,,0,0,10663.05,0
3100,25:04:27,25:04:27,737,25,,0,0,11377.86,0
3100,25:05:35,25:05:35,505,26,,0,0,11854.34,0
3100,25:06:51,25:06:51,19,27,,0,0,12297.74,0
3100,25:08:22,25:08:22,21,28,,0,0,12917.52,0
3100,25:09:23,25:09:23,22,29,,0,0,13330.83,0
3100,25:10:21,25:10:21,776,30,,0,0,13757.45,0
3100,25:12:00,25:12:00,873,31,,0,0,14448.06,1
3120,24:45:00,24:45:00,873,1,,0,0,0,1
3120,24:45:55,24:45:55,25,2,,0,0,511.77,0
3120,24:46:40,24:46:40,32,3,,0,0,979.56,0
3120,24:47:40,24:47:40,886,4,,0,0,1629.27,0
3120,24:48:09,24:48:09,713,5,,0,0,1945.02,0
3120,24:49:00,24:49:00,544,6,,0,0,2523.02,1
3120,24:50:43,24:50:43,813,7,,0,0,3305.83,0
3120,24:51:22,24:51:22,226,8,,0,0,3622.03,0
3120,24:52:17,24:52:17,227,9,,0,0,3983.36,0
3120,24:53:07,24:53:07,228,10,,0,0,4330.71,0
3120,24:53:58,24:53:58,229,11,,0,0,4677.45,0
3120,24:55:00,24:55:00,230,12,,0,0,5071.53,1
3120,24:55:36,24:55:36,232,13,,0,0,5735.15,0
3120,24:56:04,24:56:04,234,14,,0,0,6345,0
3120,24:56:34,24:56:34,235,15,,0,0,6983.46,0
3120,24:56:53,24:56:53,236,16,,0,0,7381.02,0
3120,24:57:07,24:57:07,237,17,,0,0,7681.04,0
3120,24:57:33,24:57:33,239,18,,0,0,8278.95,0
3120,24:58:00,24:58:00,241,19,,0,0,8888.77,1
3120,24:59:05,24:59:05,242,20,,0,0,9376.21,0
3120,24:59:51,24:59:51,814,21,,0,0,9678.96,0
3120,25:00:31,25:00:31,244,22,,0,0,9976.56,0
3120,25:01:04,25:01:04,245,23,,0,0,10212.55,0
3120,25:02:23,25:02:23,736,24,,0,0,10663.05,0
3120,25:04:27,25:04:27,737,25,,0,0,11377.86,0
3120,25:05:35,25:05:35,505,26,,0,0,11854.34,0
3120,25:06:51,25:06:51,19,27,,0,0,12297.74,0
3120,25:08:22,25:08:22,21,28,,0,0,12917.52,0
3120,25:09:23,25:09:23,22,29,,0,0,13330.83,0
3120,25:10:21,25:10:21,776,30,,0,0,13757.45,0
3120,25:12:00,25:12:00,873,31,,0,0,14448.06,1
4060,25:15:00,25:15:00,873,1,,0,0,0,1
4060,25:15:55,25:15:55,25,2,,0,0,511.77,0
4060,25:16:40,25:16:40,32,3,,0,0,979.56,0
4060,25:17:40,25:17:40,886,4,,0,0,1629.27,0
4060,25:18:09,25:18:09,713,5,,0,0,1945.02,0
4060,25:19:00,25:19:00,544,6,,0,0,2523.02,1
4060,25:20:43,25:20:43,813,7,,0,0,3305.83,0
4060,25:21:22,25:21:22,226,8,,0,0,3622.03,0
4060,25:22:17,25:22:17,227,9,,0,0,3983.36,0
4060,25:23:07,25:23:07,228,10,,0,0,4330.71,0
4060,25:23:58,25:23:58,229,11,,0,0,4677.45,0
4060,25:25:00,25:25:00,230,12,,0,0,5071.53,1
4060,25:25:36,25:25:36,232,13,,0,0,5735.15,0
4060,25:26:04,25:26:04,234,14,,0,0,6345,0
4060,25:26:34,25:26:34,235,15,,0,0,6983.46,0
4060,25:26:53,25:26:53,236,16,,0,0,7381.02,0
4060,25:27:07,25:27:07,237,17,,0,0,7681.04,0
4060,25:27:33,25:27:33,239,18,,0,0,8278.95,0
4060,25:28:00,25:28:00,241,19,,0,0,8888.77,1
4060,25:29:05,25:29:05,242,20,,0,0,9376.21,0
