stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3,121,HARMONY & HINSDALE,,40.52344,-105.08714,,,,,,0
4,123,HARMONY & MASON,,40.523465,-105.079916,,,,,,0
9,1449,STANFORD & HORSETOOTH,,40.539314,-105.069917,,,,,,0
11,1475,SWALLOW & COLLEGE,,40.54587,-105.076152,,,,,,0
19,205,COLLEGE & LAKE,,40.569094,-105.076789,,,,,,0
21,127,COLLEGE & ELIZABETH,,40.57466,-105.07696,,,,,,0
22,128,COLLEGE & LAUREL,,40.57837,-105.076889,,,,,,0
25,914,OLIVE & REMINGTON,,40.584304,-105.075889,,,,,,0
32,853,COLLEGE & MULBERRY,,40.58096,-105.07723,,,,,,0
44,1480,SWALLOW & STANFORD (E OF),,40.545653,-105.067461,,,,,,0
54,871,HARMONY & MASON,,40.523684,-105.080365,,,,,,0
55,876,HARMONY & LARKBUNTING,,40.52365,-105.08326,,,,,,0
56,877,HARMONY & HINSDALE,,40.52366,-105.08681,,,,,,0
61,464,CITY PARK & PLUM,,40.57626,-105.100774,,,,,,0
62,465,ELIZABETH & CITY PARK,,40.574664,-105.101391,,,,,,0
64,529,RAMS VILLAGE WEST,,40.576567,-105.104763,,,,,,0
67,532,PLUM & MOBY ARENA (EB),,40.576381,-105.093769,,,,,,0
69,950,JEFFERSON & LINDEN,,40.5885,-105.073557,,,,,,0
70,951,LINCOLN & 2ND,,40.588693,-105.066422,,,,,,0
71,1367,LINCOLN & LEMAY (W OF),,40.588659,-105.059498,,,,,,0
72,952,LINCOLN & LEMAY,,40.588603,-105.056251,,,,,,0
73,953,LINCOLN & LINK LANE,,40.58696,-105.05138,,,,,,0
74,954,LINCOLN & LINCOLN CT,,40.584316,-105.045639,,,,,,0
75,955,LINCOLN & AIRPARK,,40.582913,-105.042836,,,,,,0
76,956,LINCOLN & AIRWAY,,40.58163,-105.03486,,,,,,0
77,957,HIGHWAY 14 & TIMBERLINE,,40.58095,-105.03159,,,,,,0
78,958,SOUTH FRONTAGE & SUMMIT VIEW,,40.58096,-105.02604,,,,,,0
79,959,SOUTH FRONTAGE & DAWN,,40.580895,-105.018189,,,,,,0
83,964,LINCOLN & AIRWAY,,40.5816,-105.03565,,,,,,0
84,965,LINCOLN & AIRPARK,,40.58351,-105.04376,,,,,,0
85,966,LINCOLN & LINCOLN CT,,40.58488,-105.04653,,,,,,0
86,967,LINCOLN & LINK LANE,,40.58698,-105.05108,,,,,,0
87,968,LINCOLN & LEMAY,,40.588862,-105.058776,,,,,,0
88,969,LINCOLN & 1ST,,40.588673,-105.068857,,,,,,0
89,970,LINCOLN & WILLOW,,40.587983,-105.070755,,,,,,0
90,972,MOUNTAIN & OLD TOWN SQUARE,,40.58713,-105.07625,,,,,,0
92,1119,MELDRUM & MYRTLE (S OF),,40.57958,-105.08244,,,,,,0
93,1393,MELDRUM & MAGNOLIA,,40.58221,-105.08243,,,,,,0
94,1394,OLIVE & MELDRUM,,40.584163,-105.08193,,,,,,0
95,1496,HOWES & MOUNTAIN,,40.5874,-105.080588,,,,,,0
103,1417,JFK & BOARDWALK,,40.531812,-105.074557,,,,,,0
104,1418,JFK & TROUTMAN,,40.528398,-105.073494,,,,,,0
105,1419,JFK & PAVILION,,40.526404,-105.072494,,,,,,0
106,1461,HARMONY & BOARDWALK (W OF),,40.523377,-105.067156,,,,,,0
107,1247,HARMONY & LEMAY (W OF),,40.52348,-105.06063,,,,,,0
108,1248,HARMONY & WHEATON (E OF),,40.52343,-105.05176,,,,,,0
109,1249,HARMONY & DELANY,,40.52316,-105.04205,,,,,,0
110,1361,HARMONY & UC HEALTH HARMONY CAMPUS,,40.523052,-105.038208,,,,,,0
118,1268,ROCK CREEK & ZIEGLER,,40.516037,-105.019471,,,,,,0
120,1425,LADY MOON & ROCK CREEK,,40.516359,-105.010458,,,,,,0
121,1446,LADY MOON & HARMONY,,40.520869,-105.010785,,,,,,0
122,1426,HARMONY & TECHNOLOGY,,40.523558,-105.015992,,,,,,0
123,1269,HARMONY & ZIEGLER,,40.523413,-105.022254,,,,,,0
124,1360,HARMONY & CORBETT,,40.523418,-105.028551,,,,,,0
125,1281,HARMONY & SNOW MESA,,40.523433,-105.032503,,,,,,0
126,1341,HARMONY & TIMBERLINE (E OF),,40.523448,-105.03667,,,,,,0
127,1266,HARMONY & TIMBERLINE (W OF),,40.523489,-105.040443,,,,,,0
128,1460,HARMONY & INNOVATION,,40.523771,-105.046857,,,,,,0
129,1258,HARMONY & MCMURRY (W OF),,40.523805,-105.051523,,,,,,0
