trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1372130,2,9,CSU TRANSIT CENTER,,1,7062,shp-2-02,1,1
1377120,2,3,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1377140,2,5,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1379020,2,8,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1379090,2,7,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1379120,2,3,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1325110,2,11,CSU TRANSIT CENTER,,1,4022,shp-2-02,1,1
1327110,2,11,CSU TRANSIT CENTER,,1,4022,shp-2-02,1,1
1332100,2,2,CSU TRANSIT CENTER,,1,1619,shp-2-02,1,1
1332120,2,3,CSU TRANSIT CENTER,,1,1619,shp-2-02,1,1
1333070,2,4,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1335110,2,11,CSU TRANSIT CENTER,,1,4022,shp-2-02,1,1
1339020,2,8,CSU TRANSIT CENTER,,1,1619,shp-2-02,1,1
1341020,2,8,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1341100,2,2,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1343140,2,5,CSU TRANSIT CENTER,,1,1619,shp-2-02,1,1
1344070,2,4,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1345130,2,9,CSU TRANSIT CENTER,,1,7062,shp-2-02,1,1
1346070,2,4,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1346150,2,10,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1347140,2,5,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1348070,2,4,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1348150,2,10,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1349070,2,4,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1350110,2,11,CSU TRANSIT CENTER,,1,4022,shp-2-02,1,1
1355130,2,9,CSU TRANSIT CENTER,,1,7062,shp-2-02,1,1
1359130,2,9,CSU TRANSIT CENTER,,1,7062,shp-2-02,1,1
1360140,2,5,CSU TRANSIT CENTER,,1,1619,shp-2-02,1,1
1361090,2,7,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1361100,2,2,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1361120,2,3,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1363070,2,4,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1363150,2,10,CSU TRANSIT CENTER,,1,82,shp-2-02,1,1
1364060,2,6,CSU TRANSIT CENTER,,1,132,shp-2-02,1,1
1365130,2,9,CSU TRANSIT CENTER,,1,7062,shp-2-02,1,1
